id,name,tax_payer_company/id,tax_payer_partner/id,withholding_calc_id/id,withholding_id/id,withholding_cate_product/id
R59,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_03,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R60,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R61,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R62,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R63,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R64,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R65,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_01,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R66,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R67,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R68,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R69,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R70,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_02,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
R71,RETENCION 2% Renta Compra 307,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_03,withholding_odoo.w13,withholding_odoo.4,withholding_odoo.category_2
